binance;y;n;n
bitfinex;y;n;n
bitstamp;y;n;n
bittrex;n;n;n
ccex;n;n;n
coinmarketcap;n;y;n
kraken;n;n;n
kucoin;n;n;n
okcoin;y;n;n
poloniex;y;n;n
